guarantee,保証
merchant,商人
dedicate,〜に捧げる
bias,偏見
speculator,投機家
diabetes,糖尿病
mature,成熟した
reinforce,強化する
dimension,寸法
avoid,避ける
administration,管理
bother,悩ます
restrain,抑制する
stimulation,刺激
offset,相殺する
affirm,断言する
considerably,かなり
demonstration,証明
arouse,覚醒させる
constitute,構成する
superb,素晴らしい
segment,区切り
literacy,読み書きの能力
dignity,尊厳
soak,浸す
fierce,激しい
irony,皮肉
disregard,無視する
presume,推定する
luxurious,贅沢な
chronic,慢性の
testify,証言する
investigate,調査
cencus,国勢調査
chore,雑用
emit,放出する
tolerant,寛容
prevail,流行している
perceptive,知覚の
extraordinary,並外れた
affluent,豊富な
dormitory,寮
brief,短時間の
encount,遭遇する
attorney,弁護士
coincidence,一致
accurate,正確な
expend,費やす
determine,決定する
assume,推測する
estimate,見積もる
vary,変化
encounter,出会い
discipline,規律
colony,植民地
beverage,飲料
interfere,干渉する
deceive,欺く
patent,特許
pronounce,発音する
astonish,驚かす
spectator,観客
optimistic,楽観的
confine,制限する
retail,小売り
vivid,鮮やか
prosperity,繁栄する
parliament,議会
correspond,一致する
conform,従う
induce,誘発する
oblige,〜しなければならない
provoke,挑発する
soar,急上昇
scenery,景色
contradict,矛盾する
strive,努力
hostile,敵対的
justify,正当化する
expel,追放する
distribute,分配する
prevent,防ぐ
resume,再開する
hinder,妨げる
mere,単なる
eager,しきりに〜したがる
discard,破棄する
orphan,孤児
misery,惨め
jealous,嫉妬
vocation,職業
contemplate,熟考する
conceive,想像する
conceit,うぬぼれ
superstition,迷信
currency,通貨
diminish,減少する
comprise,〜から成る
decay,腐敗する
allow,許可する
reduce,減らす
increase,増加する
decrease,減少する
realize,気づく
force,力
avoid,避ける
notice,気が付く
quality,質
quantity,量
complete,完了する
theory,仮説
figure,形
industry,産業
species,種類
effect,効果
individual,個人
available,利用可能な
particular,特に
various,様々な
instead,代わり
suppose,仮定する
regard,〜とみなす
attend,出席
base,基礎
aspect,側面
detail,詳細
establish,設立する
found,設立する
spread,広まる
expand,拡大する
restrict,制限する
freedom,自由
prohibit,禁止する
forgive,許す
destination,目的地
imagine,想像する
execute,実行する
raise,高める
compare,比較する
maintain,維持する
demand,要求する
supply,供給する
regulate,規制する
intelligent,知的な
government,政府
appropriate,適切な
content,内容
derive,由来する
observe,観察する
company,会社
propose,提案する
absolute,絶対の
method,方法
require,必要とする
unique,個性的
responsibility,責任
gain,得る
delay,遅れる
economy,経済
invest,投資する
relate,関連する
predict,予測する
sensitive,敏感な
emotion,感情
identify,識別する
value,価値
manufacture,製造する
climate,気候
nutrition,栄養
rate,割合
modern,現代の
explore,探検する
reveal,明らかにする
injure,傷つける
proportion,割合
religion,宗教
tend,〜の傾向がある
succeed,成功する
familiar,精通している
blame,非難する
seldom,めったにない
budget,予算
adjust,調整する
territory,領土
organize,組織する
pain,痛み
prepare,準備する
publish,出版する
general,一般的な
evidence,証拠
generate,生成する
permit,許可する
cell,細胞
respond,応答する
principle,原理
essential,必要不可欠な
convince,納得させる
diversity,多様性
domestic,国内の

